seed,device_type,device_name,torch_version,cuda_version,batch_size,board_side,cells,samples,rho,blue_wins,blue_win_probability,blue_win_se,pivotal_samples,random_coordinate_pivotal_probability,total_influence_estimate,total_influence_se,noise_disagreements,noise_disagreement_probability,noise_disagreement_se,winner_correlation,winner_correlation_se,side_runtime_seconds
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,5,25,65536,0.0,32575,0.4970550537109375,0.0019530911219380366,6995,0.1067352294921875,2.6683807373046875,0.03015393820918409,32891,0.5018768310546875,0.0019531112402061878,-0.003753662109375,0.0039062224804123757,2.509745199989993
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,5,25,65536,0.25,32575,0.4970550537109375,0.0019530911219380366,6995,0.1067352294921875,2.6683807373046875,0.03015393820918409,29406,0.448699951171875,0.0019428177440496358,0.10260009765625,0.0038856354880992716,2.509745199989993
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,5,25,65536,0.5,32575,0.4970550537109375,0.0019530911219380366,6995,0.1067352294921875,2.6683807373046875,0.03015393820918409,24415,0.3725433349609375,0.0018886013775344709,0.254913330078125,0.0037772027550689417,2.509745199989993
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,5,25,65536,0.7,32575,0.4970550537109375,0.0019530911219380366,6995,0.1067352294921875,2.6683807373046875,0.03015393820918409,18143,0.2768402099609375,0.0017478000790766407,0.446319580078125,0.0034956001581532815,2.509745199989993
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,5,25,65536,0.8,32575,0.4970550537109375,0.0019530911219380366,6995,0.1067352294921875,2.6683807373046875,0.03015393820918409,13601,0.2075347900390625,0.0015841474126294444,0.584930419921875,0.003168294825258889,2.509745199989993
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,5,25,65536,0.9,32575,0.4970550537109375,0.0019530911219380366,6995,0.1067352294921875,2.6683807373046875,0.03015393820918409,7809,0.1191558837890625,0.0012655150363802613,0.761688232421875,0.0025310300727605225,2.509745199989993
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,5,25,65536,0.95,32575,0.4970550537109375,0.0019530911219380366,6995,0.1067352294921875,2.6683807373046875,0.03015393820918409,4211,0.0642547607421875,0.0009578367661089899,0.871490478515625,0.0019156735322179799,2.509745199989993
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,5,25,65536,0.98,32575,0.4970550537109375,0.0019530911219380366,6995,0.1067352294921875,2.6683807373046875,0.03015393820918409,1737,0.0265045166015625,0.0006274613059378392,0.946990966796875,0.0012549226118756785,2.509745199989993
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,5,25,65536,0.99,32575,0.4970550537109375,0.0019530911219380366,6995,0.1067352294921875,2.6683807373046875,0.03015393820918409,823,0.0125579833984375,0.00043498650981816257,0.974884033203125,0.0008699730196363251,2.509745199989993
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,5,25,65536,1.0,32575,0.4970550537109375,0.0019530911219380366,6995,0.1067352294921875,2.6683807373046875,0.03015393820918409,0,0.0,0.0,1.0,0.0,2.509745199989993
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,7,49,65536,0.0,32510,0.496063232421875,0.001953064459456391,4634,0.070709228515625,3.464752197265625,0.049064793605194806,32735,0.4994964599609375,0.0019531240095600187,0.001007080078125,0.0039062480191200373,4.750523599999724
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,7,49,65536,0.25,32510,0.496063232421875,0.001953064459456391,4634,0.070709228515625,3.464752197265625,0.049064793605194806,30296,0.4622802734375,0.001947559344338448,0.075439453125,0.003895118688676896,4.750523599999724
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,7,49,65536,0.5,32510,0.496063232421875,0.001953064459456391,4634,0.070709228515625,3.464752197265625,0.049064793605194806,25922,0.395538330078125,0.0019100234788864935,0.20892333984375,0.003820046957772987,4.750523599999724
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,7,49,65536,0.7,32510,0.496063232421875,0.001953064459456391,4634,0.070709228515625,3.464752197265625,0.049064793605194806,19949,0.3043975830078125,0.0017974680342157186,0.391204833984375,0.003594936068431437,4.750523599999724
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,7,49,65536,0.8,32510,0.496063232421875,0.001953064459456391,4634,0.070709228515625,3.464752197265625,0.049064793605194806,15607,0.2381439208984375,0.0016638579770769598,0.523712158203125,0.0033277159541539197,4.750523599999724
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,7,49,65536,0.9,32510,0.496063232421875,0.001953064459456391,4634,0.070709228515625,3.464752197265625,0.049064793605194806,9222,0.140716552734375,0.0013583161090083974,0.71856689453125,0.002716632218016795,4.750523599999724
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,7,49,65536,0.95,32510,0.496063232421875,0.001953064459456391,4634,0.070709228515625,3.464752197265625,0.049064793605194806,5022,0.076629638671875,0.0010390737865700222,0.84674072265625,0.0020781475731400443,4.750523599999724
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,7,49,65536,0.98,32510,0.496063232421875,0.001953064459456391,4634,0.070709228515625,3.464752197265625,0.049064793605194806,2188,0.03338623046875,0.000701730279951452,0.9332275390625,0.001403460559902904,4.750523599999724
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,7,49,65536,0.99,32510,0.496063232421875,0.001953064459456391,4634,0.070709228515625,3.464752197265625,0.049064793605194806,1086,0.016571044921875,0.0004986622330858633,0.96685791015625,0.0009973244661717266,4.750523599999724
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,7,49,65536,1.0,32510,0.496063232421875,0.001953064459456391,4634,0.070709228515625,3.464752197265625,0.049064793605194806,0,0.0,0.0,1.0,0.0,4.750523599999724
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,9,81,65536,0.0,32725,0.4993438720703125,0.0019531233183435724,3302,0.050384521484375,4.081146240234375,0.0692097874004057,32728,0.4993896484375,0.001953123544807935,0.001220703125,0.00390624708961587,9.062309300003108
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,9,81,65536,0.25,32725,0.4993438720703125,0.0019531233183435724,3302,0.050384521484375,4.081146240234375,0.0692097874004057,30643,0.4675750732421875,0.0019490137359493304,0.064849853515625,0.003898027471898661,9.062309300003108
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,9,81,65536,0.5,32725,0.4993438720703125,0.0019531233183435724,3302,0.050384521484375,4.081146240234375,0.0692097874004057,26670,0.406951904296875,0.0019190068946305903,0.18609619140625,0.0038380137892611806,9.062309300003108
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,9,81,65536,0.7,32725,0.4993438720703125,0.0019531233183435724,3302,0.050384521484375,4.081146240234375,0.0692097874004057,21321,0.3253326416015625,0.0018300742225399952,0.349334716796875,0.0036601484450799904,9.062309300003108
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,9,81,65536,0.8,32725,0.4993438720703125,0.0019531233183435724,3302,0.050384521484375,4.081146240234375,0.0692097874004057,16984,0.2591552734375,0.0017116054350785823,0.481689453125,0.0034232108701571645,9.062309300003108
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,9,81,65536,0.9,32725,0.4993438720703125,0.0019531233183435724,3302,0.050384521484375,4.081146240234375,0.0692097874004057,10376,0.1583251953125,0.0014259595770423745,0.683349609375,0.002851919154084749,9.062309300003108
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,9,81,65536,0.95,32725,0.4993438720703125,0.0019531233183435724,3302,0.050384521484375,4.081146240234375,0.0692097874004057,5821,0.0888214111328125,0.0011112726401542683,0.822357177734375,0.0022225452803085366,9.062309300003108
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,9,81,65536,0.98,32725,0.4993438720703125,0.0019531233183435724,3302,0.050384521484375,4.081146240234375,0.0692097874004057,2583,0.0394134521484375,0.0007600646296494836,0.921173095703125,0.0015201292592989671,9.062309300003108
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,9,81,65536,0.99,32725,0.4993438720703125,0.0019531233183435724,3302,0.050384521484375,4.081146240234375,0.0692097874004057,1267,0.0193328857421875,0.0005378599197939226,0.961334228515625,0.0010757198395878451,9.062309300003108
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,9,81,65536,1.0,32725,0.4993438720703125,0.0019531233183435724,3302,0.050384521484375,4.081146240234375,0.0692097874004057,0,0.0,0.0,1.0,0.0,9.062309300003108
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,11,121,65536,0.0,32771,0.5000457763671875,0.0019531249918145477,2622,0.040008544921875,4.841033935546875,0.09263081114181919,32847,0.5012054443359375,0.0019531193238353183,-0.002410888671875,0.0039062386476706366,14.8522251000104
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,11,121,65536,0.25,32771,0.5000457763671875,0.0019531249918145477,2622,0.040008544921875,4.841033935546875,0.09263081114181919,30856,0.4708251953125,0.001949797285337634,0.058349609375,0.003899594570675268,14.8522251000104
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,11,121,65536,0.5,32771,0.5000457763671875,0.0019531249918145477,2622,0.040008544921875,4.841033935546875,0.09263081114181919,27465,0.4190826416015625,0.0019273786680665751,0.161834716796875,0.0038547573361331503,14.8522251000104
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,11,121,65536,0.7,32771,0.5000457763671875,0.0019531249918145477,2622,0.040008544921875,4.841033935546875,0.09263081114181919,22458,0.342681884765625,0.0018539303269410785,0.31463623046875,0.003707860653882157,14.8522251000104
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,11,121,65536,0.8,32771,0.5000457763671875,0.0019531249918145477,2622,0.040008544921875,4.841033935546875,0.09263081114181919,18474,0.281890869140625,0.001757501739178848,0.43621826171875,0.003515003478357696,14.8522251000104
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,11,121,65536,0.9,32771,0.5000457763671875,0.0019531249918145477,2622,0.040008544921875,4.841033935546875,0.09263081114181919,11507,0.1755828857421875,0.0014861909942932821,0.648834228515625,0.0029723819885865642,14.8522251000104
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,11,121,65536,0.95,32771,0.5000457763671875,0.0019531249918145477,2622,0.040008544921875,4.841033935546875,0.09263081114181919,6723,0.1025848388671875,0.0011852182391873104,0.794830322265625,0.002370436478374621,14.8522251000104
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,11,121,65536,0.98,32771,0.5000457763671875,0.0019531249918145477,2622,0.040008544921875,4.841033935546875,0.09263081114181919,2923,0.0446014404296875,0.0008063559003140367,0.910797119140625,0.0016127118006280733,14.8522251000104
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,11,121,65536,0.99,32771,0.5000457763671875,0.0019531249918145477,2622,0.040008544921875,4.841033935546875,0.09263081114181919,1515,0.0231170654296875,0.000587012902653926,0.953765869140625,0.001174025805307852,14.8522251000104
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,11,121,65536,1.0,32771,0.5000457763671875,0.0019531249918145477,2622,0.040008544921875,4.841033935546875,0.09263081114181919,0,0.0,0.0,1.0,0.0,14.8522251000104
20260730,cpu,"Intel64 Family 6 Model 198 Stepping 2, GenuineIntel",2.12.1+cpu,,2048,15,225,65536,0.0,32689,0.4987945556640625,0.0019531193238353183,1664,0.025390625,5.712890625,0.13825935954755178,32669,0.4984893798828125,0.0019531160860220863,0.003021240234375,0.0039062321720441727,37.04662179999286
